新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
近14天新品,GB,1729865476328430529,S260702034597,CSC Clothing Mall,标码女装,女士穆斯林服饰,3.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/23c34ac562b14557bcedf2b6b1383b54~tplv-g9dfdl17fc-origin-image.image,2026/7/2,内容场占比低,,797,43,,https://shop.tiktok.com/view/product/1729865476328430529?region=GB&locale=en,29.5
近14天新品,US,1732461821388690197,S260627005743,Lllumi,大码女装,女士连衣裙,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/67d7b71fcc4041e78b73fdab6a1ec473~tplv-g9dfdl17fc-origin-image.image,2026/7/1,,,71,87,In Affiliate,https://shop.tiktok.com/view/product/1732461821388690197?region=US&locale=en,14.8
近14天新品,US,1732465900300047193,S260630005976,Budget Euro Chic,大码女装,女士套装及西服,2.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8992e24ffeb24e91915c4aab2a8265fc~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,高GPM,99,88,,https://shop.tiktok.com/view/product/1732465900300047193?region=US&locale=en,39.3
近14天新品,US,1732458919797756693,S260625016981,AOMR,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/5507be8b7ba34040ae7e4d9d28b6af85~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,9,89,,https://shop.tiktok.com/view/product/1732458919797756693?region=US&locale=en,14.7
近14天新品,US,1732458843521716548,S260625013330,Retro Graze,标码女装,女士穆斯林服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2debdea91865497da966e6bda2552959~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,38,91,,https://shop.tiktok.com/view/product/1732458843521716548?region=US&locale=en,11.7
近14天新品,GB,1729863013258795398,S260629000357,START CROSSING,大码女装,女士连衣裙,2.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4aa6749b568b4171ad648173913f2429~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,高GPM,838,45,,https://shop.tiktok.com/view/product/1729863013258795398?region=GB&locale=en,16.7
近14天新品,US,1732453922902545173,S260622024287,AOMR,标码女装,女士下装,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/61d639fa70b24241b5fbf7ae545c2775~tplv-g9dfdl17fc-origin-image.image,2026/6/30,内容场占比低,,18,92,,https://shop.tiktok.com/view/product/1732453922902545173?region=US&locale=en,12.9
近14天新品,US,1732466198532494028,S260629019927,Geecharm,标码女装,女士特殊服饰,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/75cd81462e4d4577820f3a2bc180ee80~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,,3992,93,,https://shop.tiktok.com/view/product/1732466198532494028?region=US&locale=en,8.2
近14天新品,US,1732463182206505749,S260628010136,Lllumi,大码女装,女士连衣裙,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/871c90b8b7fe4c35a7fbb38f422f8052~tplv-g9dfdl17fc-origin-image.image,2026/7/1,内容场占比低,,13,94,,https://shop.tiktok.com/view/product/1732463182206505749?region=US&locale=en,10.3
近14天新品,GB,1729862748575144662,S260606023591,Chic Plus Art,标码女装,女士套装及西服,Null,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/be63973808874ee29aebd3764d4c82f6~tplv-g9dfdl17fc-origin-image.image,2026/6/29,内容场占比低,高GPM,400,46,,https://shop.tiktok.com/view/product/1729862748575144662?region=GB&locale=en,22.3
